Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/2025/10/20/imagem-de-300kb/,800,0,54,54.29395801874855,20.66902100000334,114.0803490000053,29945.0,9.87998848230894,0.0,54,56,59,61,68,74,87,92,110,110,110
,Aggregated,800,0,54,54.29395801874855,20.66902100000334,114.0803490000053,29945.0,9.87998848230894,0.0,54,56,59,61,68,74,87,92,110,110,110
